,BPA,PNW,SDGE,SCE,PGE_valley,PGE_bay
0,8916.720355442127,18734.90125572484,2309.4254406869577,11935.963974384556,6017.97101209298,5171.27683481708
1,8750.239147054748,18391.387046020627,2150.6333476105297,11331.459064986962,5602.516218338799,5038.485102562697
2,8674.044372386754,18354.670448601155,2028.5849848873631,10822.87391135032,5369.91602797095,4872.374464146944
3,8718.822906478408,18594.46873136182,1950.4668292467659,10365.117012145256,5235.965319435019,4762.3804007699955
4,8889.319934954889,19285.246093152768,1907.6698011684703,10196.41791402383,5072.748864791895,4752.737795520536
5,9235.229464697992,20767.42879745411,1908.6196760817775,10202.449718001955,5056.2385681746655,4752.333336750398
6,9606.85586806929,23532.1577443659,1967.2188469841633,10403.15160941927,5169.295132251563,4802.701480800964
7,9990.331608506272,25323.28748606311,2065.960757354731,10488.724661295017,5390.985810562841,5181.2609213007945
8,10289.180869717025,25469.90148008423,2143.502485731077,10406.413470713895,5654.888764775746,5394.236091882797
9,10414.720079128767,25096.57548184701,2211.567100110707,10571.265802348713,5779.15492023473,5534.569507695687
10,10331.079984906695,24560.57002917738,2248.8140108524954,10770.0456489862,5981.98606422858,5563.878648314782
11,10118.73484392099,23834.47455487721,2258.9751731070646,10946.870229371,5972.89364324553,5459.770189551008
12,9843.682561535592,23083.01790081928,2250.2750862904923,11013.059923587702,5898.354494614875,5398.469427407562
13,9639.272217292832,22445.937273528256,2241.899877788484,10978.751932847608,5784.67126689588,5244.668164007315
14,9459.195266177849,21959.014863433316,2236.4477866010307,10826.978635185775,5710.545675623435,5338.136459187043
15,9532.024319682809,22262.153565074892,2245.2818005562176,10807.549315697997,5631.1835841108,5356.639682966714
16,10079.851142278067,24167.91832675604,2296.5583248058224,10801.668249467335,5934.722874425412,5408.489595470444
17,10650.801423321751,26321.569013823206,2494.666733850654,11387.275700460514,6478.061916903959,5658.96964318444
18,10714.495384572097,26496.26987322432,2843.3848745842542,13069.982223305513,7353.480110645847,6202.860104881225
19,10589.396596888388,26053.567006190802,2994.1637397396426,13514.283161442048,7620.666344176284,6211.764286727952
20,10356.515422876275,25151.155558404887,2967.634541900408,13422.310448775088,7577.796546474057,6145.662915695602
21,9964.078039971717,23426.76570466885,2886.4359417232786,13236.796518407344,7335.6229542122355,5914.779889571181
